id,name,characteristic,period_s,phases,flash_s,optic,optic_evidence,rpm,panels,sim_mode,sec_per_turn,turn_source,beam_width_deg,width_source,sectored,flags
achara-point-lighthouse,Achara Point Lighthouse,Flash(2) White every 06 sec,6,"[0.5, 1.0, 0.5, 4.0]",,flasher,"Optic: High efficiency LED flashing beacon, Marine Signal Lantern; Rotation Device NA; R.P.M. NA",,,flashing,,ledger: LED flasher / fixed optic,,,False,
agatti-lighthouse,AGATTI LIGHTHOUSE,Fl (30) W 30 sec,30,"[1.0, 29.0]",,flasher,LED lantern MBL 160 with MF-12 Electronic Flasher; no rotation device listed,,,flashing,,ledger: LED flasher / fixed optic,,,False,
aguada-lighthouse-and-dgps-station,Aguada Lighthouse And D.g.p.s Station,Flash 3 white every 20 sec.,20,"[0.41, 2.0, 0.41, 2.0, 0.41, 14.77]",0.41,revolving,Type: Revolving with cut & polished prisms; Rotation Device: Dual stepper motor (40 kg-cm); R.P.M. 3,3,3,revolving,20,ledger 3 rpm,7.33,ledger horizontal divergence,False,
alang-lighthouse,Alang Lighthouse,Fl W 3 Sec. (0.42+2.58=3 Sec.),3,"[0.42, 2.58]",0.42,revolving,Type: revolving; Pedestal: Mercury float; Rotation Device: Stepper motor; R.P.M. 5,5,,revolving,12,ledger 5 rpm,25.2,ledger horizontal divergence,False,
alappuzha-lighthouse,Alappuzha Lighthouse,Fl (1) W 15 sec (fl 0.8),15,"[0.8, 14.2]",0.8,revolving,Optic: Revolving Beacon; Rotation Device: Dual Stepper motor; R.P.M. 1,1,4,revolving,60,ledger 1 rpm,5,ledger horizontal divergence,False,
amini-lighthouse,AMINI LIGHTHOUSE,Fl (1) White 15Sec,15,"[0.95, 14.05]",,flasher,"Optic MBL-160, Type: LED Flasher",,,flashing,,ledger: LED flasher / fixed optic,,,False,
ammapattinam-lighthouse,AMMAPATTINAM LIGHTHOUSE,Two White Flashes for every 15 Second,15,"[0.5, 1.5, 0.5, 12.5]",0.5,revolving,Optic: LED Marine Rotating beacon VRB-25-LED; Rotation Device: Inbuilt stepper motor; R.P.M. 2 RPM,2,,revolving,30,ledger 2 rpm,6.0,implied by flash duration and rotation,False,
andaman-strait-eastern-entrance-lighthouse,Andaman Strait Eastern Entrance Lighthouse,Fl (1) W 5 Sec fl 0.9,5,"[0.9, 4.1]",0.9,flasher,Type: LED Flasher; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
androth-east-lighthouse,ANDROTH EAST LIGHTHOUSE,Fl (2) W 10 sec,10,"[0.7, 1.0, 0.7, 7.6]",,revolving,Type: rotating light beacon; Rotation Device: 02 nos MGM 150 electronic gearless & brushless motor (R.P.M. blank),,4,revolving,20.0,4 panels × 10 s,12.6,implied by flash duration and rotation,False,
androth-west-lighthouse,ANDROTH WEST LIGHTHOUSE,Fl (W) 15sec,15,"[0.95, 14.05]",,flasher,"Type: Flasher unit (LED), Sealite 65 W; Rotation Device and R.P.M. blank",,,flashing,,ledger: LED flasher / fixed optic,,,False,
